eiendom,adresse,bydel,eier,bruksnavn,areal,kommune
0301-1/3/0/0,,,Eiendoms- og byfornyelsesetaten,,5560.1,
0301-10/1007/0/0,,,Eiendoms- og byfornyelsesetaten,Veigrunn,1655.6,
0301-10/1033/0/0,,,Eiendoms- og byfornyelsesetaten,,465.0,
0301-10/1042/0/0,,,Eiendoms- og byfornyelsesetaten,,1194.0,
0301-10/1049/0/0,,,Eiendoms- og byfornyelsesetaten,"Atkomst av uregistrert grunn, se merknad",305.7,
0301-10/1102/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,3779.6,
0301-10/1116/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1241.0,
0301-10/1146/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,826.6,
0301-10/115/0/0,,,Eiendoms- og byfornyelsesetaten,Sponhugget,17887.6,
0301-10/1161/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,372.3,
0301-10/1167/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,11834.0,
0301-10/1197/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,826.5,
0301-10/1199/0/0,,,Oslobygg KF,Kommunaltekn.anlegg (atkomst),471.6,
0301-10/1200/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1922.5,
0301-10/1203/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn (se merknad),16816.0,
0301-10/1204/0/0,Lilleakerveien 60A,Ullern,Eiendoms- og byfornyelsesetaten,Idrettsplass – Øraker skole,10274.8,
0301-10/1205/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,56.5,
0301-10/1206/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,689.3,
0301-10/1207/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,986.4,
0301-10/1210/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn Jonas Dahls vei,1841.7,
0301-10/1211/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,434.3,
0301-10/1212/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,3450.1,
0301-10/1228/0/0,,,Eiendoms- og byfornyelsesetaten,,797.5999999999999,
0301-10/1240/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,21376.1,
0301-10/1241/0/0,,,Eiendoms- og byfornyelsesetaten,,12086.4,
0301-10/1243/0/0,,,Eiendoms- og byfornyelsesetaten,,789.4,
0301-10/1253/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-10/23/0/0,,,Eiendoms- og byfornyelsesetaten,Lille Aker,1443.6,
0301-10/269/0/0,,,Eiendoms- og byfornyelsesetaten,,211.2,
0301-10/350/0/0,,,Eiendoms- og byfornyelsesetaten,,144.9,
0301-10/433/0/0,,,Eiendoms- og byfornyelsesetaten,Hartmanns vei,72.0,
